統一企業コード,法人管理番号,dunsnumber,法人格コード,企業名カナ,企業名カナ全角,企業名,検索用企業名カナ,検索用企業名カナ全角,検索用企業名,郵便番号,住所,住所１_都道府県,住所２_市区群町村,住所３_字名丁目,住所４_番地,住所５_ビル建物名,電話番号,主業コード,従業コード,代表者役職名,代表者氏名カナ,代表者氏名カナ全角,代表者氏名,主業名,従業名,組織区分,事業内容,重要度ランク,証券コード,ＵＲＬ,合併企業番号,親企業フラグ,親企業番号,sb業種大,sb業種中,sb業種小,備考1,備考2,備考3,備考4,備考5,有効無効フラグ,無効理由,登録日,更新日,登録者,更新者,削除フラグ,登録日時,更新日時,登録者名,更新者名,data_universal_number,mnc_management_name,postal_code,country_code,city,country_calling_code,district,現地法人名_日本語,customer_name,備考
AB8332,,691026222,1,ﾈｸｽﾄﾘﾝｸ,ネクストリンク,株式会社ネクストリンク,ﾈｸｽﾄﾘﾝｸ,ネクストリンク,株式会社ネクストリンク,100-0005,東京都千代田区丸の内2-3-1丸の内ネクストビル,東京都,千代田区,丸の内,2-3-1,丸の内ネクストビル,03-6200-1234,611,641,代表取締役,ｻﾄｳ ｺｳｲﾁ,サトウ コウイチ,佐藤 恒一,総合工事業,総合工事業,,,,6999,https://www.nextlink.co.jp,,,AB8332,,,,,,,,,0,,1999/3/30 0:00,2023/7/8 4:57,new,company,0,2009/7/31 7:00,2023/7/8 4:57,新情報系,company,,,,JPN,,,,,NextLink Inc.,法人番号：3010001034869
AA8485,,703561411,1,ﾌｭｰﾁｬｰﾌﾞﾘｯｼﾞ,フューチャーブリッジ,株式会社フューチャーブリッジ,ﾌｭｰﾁｬｰﾌﾞﾘｯｼﾞ,フューチャーブリッジ,株式会社フューチャーブリッジ,150-0013,東京都渋谷区恵比寿1-12-8恵比寿フロントタワー,東京都,渋谷区,恵比寿,1-12-8,恵比寿フロントタワー,03-6400-2345,6221,,代表取締役,ｽｽﾞｷ ﾏｻﾔ,タナカ コウイチ,田中 恒一,銀行業,,,,,7573,https://www.future-bridge.co.jp,,,GX9040,,,,1,,,,,0,,1999/3/30 0:00,2023/6/8 4:56,new,company,0,2009/7/31 7:00,2023/6/8 4:56,新情報系,company,,,,JPN,,,,,Future Bridge Inc.,法人番号：5010001008813
CL8198,,711323141,1,ｱｰﾊﾞﾝｿﾘｭｰｼｮﾝｽﾞ,アーバンソリューションズ,株式会社アーバンソリューションズ,ｱｰﾊﾞﾝｿﾘｭｰｼｮﾝｽﾞ,アーバンソリューションズ,株式会社アーバンソリューションズ,160-0023,東京都新宿区西新宿6-15-10西新宿ビジネスセンター,東京都,新宿区,西新宿,6-15-10,西新宿ビジネスセンター,03-5900-3456,7299,,代表取締役,ﾀｶﾊｼ ﾅｵｷ,タカハシ ナオキ,高橋 直樹,専門サービス業,,,,,,,,,,,,,,,,,,0,,2002/5/1 0:00,2024/8/9 22:58,new,company,0,2009/7/31 7:00,2024/8/9 22:58,新情報系,company,,,,JPN,,,,,Urban Solutions Inc.,
CL5724,,691686303,0,ｸﾞﾛｰｽﾊﾟｰﾄﾅｰｽﾞ,グロースパートナーズ,株式会社グロースパートナーズ,ｸﾞﾛｰｽﾊﾟｰﾄﾅｰｽﾞ,グロースパートナーズ,株式会社グロースパートナーズ,104-0061,東京都中央区銀座5-8-4銀座コアビル,東京都,中央区,銀座,5-8-4,銀座コアビル,03-6800-4567,6742,6741,代表取締役,ﾀﾅｶ ﾕｳｽｹ,タナカ ユウスケ,田中 裕介,保険業,保険業,,,,,,,,CL5724,,,,1,,,,,0,,2002/5/1 0:00,2024/11/8 5:26,new,company,0,2009/7/31 7:00,2024/11/8 5:26,新情報系,company,,,,JPN,,,,,Growth Partners Inc.,
AB7178,,690588253,1,ﾃｸﾉﾌﾛﾝﾄ,テクノフロント,株式会社テクノフロント,ﾃｸﾉﾌﾛﾝﾄ,テクノフロント,株式会社テクノフロント,108-0075,東京都港区港南2-9-14港南シティビル,東京都,港区,港南,2-9-14,港南シティビル,03-5400-5678,5521,5229,代表取締役,ｲﾄｳ ｹﾝﾀ,スズキ マサヤ,鈴木 雅也,その他の卸売業,飲食料品卸売業,,,,1364,https://www.technofront.jp,,1,AB7178,,,,1,,,,,0,,1999/3/30 0:00,2022/9/8 4:56,new,company,0,2009/7/31 7:00,2022/9/8 4:56,新情報系,company,,,,JPN,,,,,Techno Front Inc.,
GE2715,,704128020,1,ﾋﾞｼﾞﾈｽｴｯｼﾞ,ビジネスエッジ,株式会社ビジネスエッジ,ﾋﾞｼﾞﾈｽｴｯｼﾞ,ビジネスエッジ,株式会社ビジネスエッジ,530-0001,大阪府大阪市北区梅田3-2-7梅田グロースタワー,大阪府,大阪市北区,梅田,3-2-7,梅田グロースタワー,06-6300-1234,661,711,代表取締役,ﾜﾀﾅﾍﾞ ｺｳｲﾁ,ワタナベ コウイチ,渡辺 恒一,総合工事業,職別工事業,,,,5973,https://www.business-edge.co.jp,,,GE2715,,,,1,,,,,0,,2002/7/13 0:00,2024/9/8 4:56,new,company,0,2009/7/31 7:00,2024/9/8 4:56,新情報系,company,,,,JPN,,,,,Business Edge Inc.,
AO8794,,715172088,1,ｽﾏｰﾄｳｪｲ,スマートウェイ,株式会社スマートウェイ,ｽﾏｰﾄｳｪｲ,スマートウェイ,株式会社スマートウェイ,541-0046,大阪府大阪市中央区平野町2-4-9,大阪府,大阪市中央区,平野町,2-4-9,,06-6200-2345,7019,7011,代表取締役,ﾔﾏﾓﾄ ﾀｸﾔ,ヤマモト タクヤ,山本 拓也,物品賃貸業,物品賃貸業,,,,,https://www.smartway.jp,,,AO8794,,,,1,,,,,0,,2001/9/18 0:00,2025/9/8 4:56,new,company,0,2009/7/31 7:00,2025/9/8 4:56,新情報系,company,,,,JPN,,,,,Smart Way Inc.,法人番号:8010401037161
GS9581,,717524338,1,ｲﾉﾍﾞｰｼｮﾝｹﾞｰﾄ,イノベーションゲート,株式会社イノベーションゲート,ｲﾉﾍﾞｰｼｮﾝｹﾞｰﾄ,イノベーションゲート,株式会社イノベーションゲート,460-0008,愛知県名古屋市中区栄3-11-20,愛知県,名古屋市中区,栄,3-11-20,,052-950-3456,7691,5895,代表取締役,ﾅｶﾑﾗ ｶｽﾞﾔ,ナカムラ カズヤ,中村 和也,飲食店,飲食料品小売業,,,,,https://www.innovation-gate.co.jp,,,AB9621,,,,,,,,,0,,2003/7/18 0:00,2025/8/8 4:57,new,company,0,2009/7/31 7:00,2025/8/8 4:57,新情報系,company,,,,JPN,,,,,Innovation Gate Inc.,
PX3131,,713892948,1,ｺｱﾊﾞﾘｭｰ,コアバリュー,株式会社コアバリュー,ｺｱﾊﾞﾘｭｰ,コアバリュー,株式会社コアバリュー,450-0002,愛知県名古屋市中村区名駅4-18-15,愛知県,名古屋市中村区,名駅,4-18-15,,052-580-4567,4013,,代表取締役社長,ｺﾊﾞﾔｼ ﾘｮｳ,コバヤシ リョウ,小林 亮,ネット付随サービス,,,,,,https://www.corevalue.jp,,,,,,,,,,,,0,,2021/5/15 0:02,2025/6/12 13:55,upd,5806104,0,2021/5/15 0:02,2025/6/12 13:55,アップロード,5806104,,,,JPN,,,,,Core Value Inc.,
AB4677,,696990642,0,ﾌｨｰﾙﾄﾞﾈｯﾄ,フィールドネット,株式会社フィールドネット,ﾌｨｰﾙﾄﾞﾈｯﾄ,フィールドネット,株式会社フィールドネット,220-0012,東京都渋谷区恵比寿1-12-8,東京都,渋谷区,恵比寿,1-12-8,,03-6400-1234,3911,9299,代表取締役,ｶﾄｳ ﾏｺﾄ,カトウ マコト,加藤 誠,情報サービス業,その他事業サービス,,,,3081,https://www.fieldnet.co.jp,,,AB4677,,,,1,,,,,0,,1999/3/30 0:00,2025/7/8 4:56,new,company,0,2009/7/31 7:00,2025/7/8 4:56,新情報系,company,,,,JPN,,,,,Field Net Inc.,
