エントリ番号,サマリ番号,回線数,レンタルセット端末,mnp,商品コード,メーカ,移動機分類,機種名,カラー1,台数1,カラー2,台数2,カラー3,台数3,カラー4,台数4,カラー5,台数5,端末標準価格,提供代金,使用ポイント,レンタル料,レンタル実質提供料金,キャンペーン1,キャンペーン2,キャンペーン3,キャンペーン4,キャンペーン5,特典コード1,特典コード2,特典コード3,特典コード4,緊急キャンペーン1,緊急キャンペーン2,緊急キャンペーン3,プラン,ホワイト法人,通話料割引wホワイト,通話料割引ホワイトl,24時間通話定額,ホワイトオフィス,継続割引,違約金年契,sベーシックパック,4gデータ通信基本料,5g基本料,パケット割引,通話定額_だれとでも,wifi,テザリング,フラットsp9,オプションパック,あんしん保証パック,app,世界対応ケータイ,海外パケット割引,通話料明細,it接続基本料,オプションカテゴリ1,オプションサービス1,オプションカテゴリ2,オプションサービス2,オプションカテゴリ3,オプションサービス3,オプションカテゴリ4,オプションサービス4,オプションカテゴリ5,オプションサービス5,オプションカテゴリ6,オプションサービス6,オプションカテゴリ7,オプションサービス7,オプションカテゴリ8,オプションサービス8,オプションカテゴリ9,オプションサービス9,オプションカテゴリ10,オプションサービス10,シェア設定,シェアオプション,grp代表シェアopt,rntoptカテゴリ1,rntoptプラン1,rntoptカテゴリ2,rntoptプラン2,rntoptカテゴリ3,rntoptプラン3,rntoptカテゴリ4,rntoptプラン4,rntoptカテゴリ5,rntoptプラン5,rntoptカテゴリ6,rntoptプラン6,rntoptカテゴリ7,rntoptプラン7,rntoptカテゴリ8,rntoptプラン8,rntoptカテゴリ9,rntoptプラン9,rntoptカテゴリ10,rntoptプラン10,rntoptattカテゴリ1,rntoptattプラン1,rntoptattカテゴリ2,rntoptattプラン2,rntoptattカテゴリ3,rntoptattプラン3,rntoptattカテゴリ4,rntoptattプラン4,rntoptattカテゴリ5,rntoptattプラン5,rntoptattカテゴリ6,rntoptattプラン6,rntoptattカテゴリ7,rntoptattプラン7,rntoptattカテゴリ8,rntoptattプラン8,rntoptattカテゴリ9,rntoptattプラン9,rntoptattカテゴリ10,rntoptattプラン10,rntキャンペーン1,rntキャンペーン2,rntキャンペーン3,キャンペーンコード1,キャンペーンコード2,rnt緊急キャンペーン1,rnt緊急キャンペーン2,rnt緊急キャンペーン3,新規事務手数料免除,機種変更手数料免除,契変事務手数料免除,年契違約金免除,適用中相対割引終了日,相対pdカテゴリ1,相対pd名称1,相対割引方法1,相対有効開始日1,相対有効終了日1,相対請求金額1,相対割引金額1,相対割引率1,相対割引開始月1,相対期間1,相対pdカテゴリ2,相対pd名称2,相対割引方法2,相対有効開始日2,相対有効終了日2,相対請求金額2,相対割引金額2,相対割引率2,相対割引開始月2,相対期間2,相対pdカテゴリ3,相対pd名称3,相対割引方法3,相対有効開始日3,相対有効終了日3,相対請求金額3,相対割引金額3,相対割引率3,相対割引開始月3,相対期間3,相対pdカテゴリ4,相対pd名称4,相対割引方法4,相対有効開始日4,相対有効終了日4,相対請求金額4,相対割引金額4,相対割引率4,相対割引開始月4,相対期間4,相対pdカテゴリ5,相対pd名称5,相対割引方法5,相対有効開始日5,相対有効終了日5,相対請求金額5,相対割引金額5,相対割引率5,相対割引開始月5,相対期間5,相対pdカテゴリ6,相対pd名称6,相対割引方法6,相対有効開始日6,相対有効終了日6,相対請求金額6,相対割引金額6,相対割引率6,相対割引開始月6,相対期間6,相対pdカテゴリ7,相対pd名称7,相対割引方法7,相対有効開始日7,相対有効終了日7,相対請求金額7,相対割引金額7,相対割引率7,相対割引開始月7,相対期間7,相対pdカテゴリ8,相対pd名称8,相対割引方法8,相対有効開始日8,相対有効終了日8,相対請求金額8,相対割引金額8,相対割引率8,相対割引開始月8,相対期間8,相対pdカテゴリ9,相対pd名称9,相対割引方法9,相対有効開始日9,相対有効終了日9,相対請求金額9,相対割引金額9,相対割引率9,相対割引開始月9,相対期間9,相対pdカテゴリ10,相対pd名称10,相対割引方法10,相対有効開始日10,相対有効終了日10,相対請求金額10,相対割引金額10,相対割引率10,相対割引開始月10,相対期間10,相対他pdカテゴリ1,相対他pd名称1,相対他割引方法1,相対他有効開始日1,相対他有効終了日1,相対他請求金額1,相対他割引金額1,相対他割引率1,相対他割引開始月1,相対他期間1,相対他pdカテゴリ2,相対他pd名称2,相対他割引方法2,相対他有効開始日2,相対他有効終了日2,相対他請求金額2,相対他割引金額2,相対他割引率2,相対他割引開始月2,相対他期間2,相対他pdカテゴリ3,相対他pd名称3,相対他割引方法3,相対他有効開始日3,相対他有効終了日3,相対他請求金額3,相対他割引金額3,相対他割引率3,相対他割引開始月3,相対他期間3,相対他pdカテゴリ4,相対他pd名称4,相対他割引方法4,相対他有効開始日4,相対他有効終了日4,相対他請求金額4,相対他割引金額4,相対他割引率4,相対他割引開始月4,相対他期間4,相対他pdカテゴリ5,相対他pd名称5,相対他割引方法5,相対他有効開始日5,相対他有効終了日5,相対他請求金額5,相対他割引金額5,相対他割引率5,相対他割引開始月5,相対他期間5,rnt登録事務手数料免除,rnt登録事務手数料金額,rnt解約違約金割引方法,rnt解約違約金金額,r相対op1,r相対プラン1,r相対割引方法1,r相対有効開始日1,r相対有効終了日1,r相対金額1,r相対期間1,r相対op2,r相対プラン2,r相対割引方法2,r相対有効開始日2,r相対有効終了日2,r相対金額2,r相対期間2,r相対op3,r相対プラン3,r相対割引方法3,r相対有効開始日3,r相対有効終了日3,r相対金額3,r相対期間3,r相対op4,r相対プラン4,r相対割引方法4,r相対有効開始日4,r相対有効終了日4,r相対金額4,r相対期間4,r相対op5,r相対プラン5,r相対割引方法5,r相対有効開始日5,r相対有効終了日5,r相対金額5,r相対期間5,r相対他pd名称1,r相対他割引方法1,r相対他有効開始日1,r相対他有効終了日1,r相対他金額1,r相対他期間1,r相対他pd名称2,r相対他割引方法2,r相対他有効開始日2,r相対他有効終了日2,r相対他金額2,r相対他期間2,r相対他pd名称3,r相対他割引方法3,r相対他有効開始日3,r相対他有効終了日3,r相対他金額3,r相対他期間3,r相対他pd名称4,r相対他割引方法4,r相対他有効開始日4,r相対他有効終了日4,r相対他金額4,r相対他期間4,r相対他pd名称5,r相対他割引方法5,r相対他有効開始日5,r相対他有効終了日5,r相対他金額5,r相対他期間5,プラン変更許可範囲1,プラン変更許可範囲2,プラン変更許可範囲3,プラン変更許可範囲4,プラン変更許可範囲5,プラン変更許可範囲6,プラン変更許可範囲7,プラン変更許可範囲8,プラン変更許可範囲9,解除料免除率,起算日変更,サマリ作成担当者id,サマリ作成日時,サマリ更新担当者id,サマリ更新日時,回線数下限,提供世代種別,レンタル機変詳細名称,現端末利用期間名称,現端末回収状況名称,現端末未回収残高,現端末ブランド名,現端末商品コード,現端末商品名称,現端末購入月,複数回線割引名称,実通話国内音声,実通話国内データ,大口割引名称,実通話国際電話,国際rmデータ,国際rm音声,シェア相対パケ名称,違約金減額増額,代理店協業有無名称,二次代理店コード,二次代理店名,請求代行業者名称,ショット手数料,継続手数料率,カスタマイズ等請求額,カスタマイズ等コスト,capex,その他調整額,bizコンシェル定価,bizコンシェル値引額,bizコンシェルコスト,保守端末ブランド名,保守端末商品コード,保守端末商品名称,保守端末標準価格,保守端末値引,保守端末数量,wo適用名称,足回り名称,ntt東西ma内外名称1,アクセス回線距離1,回線数1,定価1,ntt東西ma内外名称2,アクセス回線距離2,回線数2,定価2,da1500提供額値引,内線番号値引,内線番号回線数,拠点番号値引,拠点番号回線数,ipbgw登録工事費値引,ipbgw登録工事gw台数,ip接続ch接続料値引,ip接続ch接続料ch数,月額固定コスト,月額変動コスト,請求書一括割引,通話従量率,国際通話従量率,国際アクセスチャージ,旧連結営業貢献利益,新sbmnpv,相対相談1,相対相談2,相対相談3,相対相談4,相対相談5,相対相談6,相対相談7,相対相談8,相対相談9,相対相談10,適用op料金品目1,適用op基本使用料1,適用op提供金額1,適用op変動費1,適用op固定費1,適用op開始月1,適用op期間1,適用op永年1,適用op料金品目2,適用op基本使用料2,適用op提供金額2,適用op変動費2,適用op固定費2,適用op開始月2,適用op期間2,適用op永年2,適用op料金品目3,適用op基本使用料3,適用op提供金額3,適用op変動費3,適用op固定費3,適用op開始月3,適用op期間3,適用op永年3,適用op料金品目4,適用op基本使用料4,適用op提供金額4,適用op変動費4,適用op固定費4,適用op開始月4,適用op期間4,適用op永年4,適用op料金品目5,適用op基本使用料5,適用op提供金額5,適用op変動費5,適用op固定費5,適用op開始月5,適用op期間5,適用op永年5,woおとくdi登録請求額,woおとくdi使用請求額,isdn1500回線数,isdn1500登録請求額,isdn1500接続請求額,isdn1500定額請求額,isdn64回線数,isdn64登録請求額,isdn64接続請求額,isdn64定額請求額,解約新規有無,未対応商品コード,未対応商品名称,疑似シェア試算容量,疑似シェア超過料,esim登録,現端末契約期間,サマリ単位反映
EN202512210001,SM202512210001,10,無,無,P001,Apple,スマートフォン,iPhone 14,ブラック,10,,,,,,,,,85000,1000,,2600,,,,,,,,,,,,,,メリハリ無制限,,,,,,,,,,,,,,有,,,加入,,有,,,,セキュリティ,スマートセキュリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USR001,2025/12/21 11:00:00,USR001,2025/12/21 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN202512210002,SM202512210002,20,有,無,P002,Samsung,スマートフォン,Galaxy S23,ホワイト,20,,,,,,,,,90000,1000,,2700,,,,,,,,,,,,,,ミニフィットプラン+,,,,,,,,,,,,,,有,,,未加入,,無,,,,セキュリティ,スマートセキュリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USR002,2025/12/21 12:00:00,USR002,2025/12/21 12:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN202512210003,SM202512210003,30,無,有,P003,Sony,スマートフォン,Xperia 10 IV,ブルー,30,,,,,,,,,95000,1000,,2800,,,,,,,,,,,,,,スマホデビュープラン+,,,,,,,,,,,,,,有,,,加入,,無,,,,セキュリティ,スマートセキュリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USR003,2025/12/21 13:00:00,USR003,2025/12/21 13:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN202512210004,SM202512210004,40,有,無,P004,Apple,スマートフォン,iPhone 14 Pro,グレー,40,,,,,,,,,100000,1000,,2900,,,,,,,,,,,,,,ペイトク無制限,,,,,,,,,,,,,,有,,,未加入,,有,,,,セキュリティ,スマートセキュリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USR004,2025/12/21 14:00:00,USR004,2025/12/21 14:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN202512210005,SM202512210005,50,無,無,P005,Samsung,スマートフォン,Galaxy A54,レッド,50,,,,,,,,,105000,1000,,3000,,,,,,,,,,,,,,メリハリ無制限,,,,,,,,,,,,,,有,,,加入,,無,,,,セキュリティ,スマートセキュリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USR005,2025/12/21 15:00:00,USR005,2025/12/21 15:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN202512210008,SM202512210008,80,有,無,P008,Apple,スマートフォン,iPhone 15,ピンク,80,,,,,,,,,120000,1000,,3300,,,,,,,,,,,,,,メリハリ無制限,,,,,,,,,,,,,,有,,,未加入,,無,,,,セキュリティ,スマートセキュリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USR008,2025/12/21 18:00:00,USR008,2025/12/21 18:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN202512210009,SM202512210009,90,無,有,P009,Samsung,スマートフォン,Galaxy S24,ゴールド,90,,,,,,,,,125000,1000,,3400,,,,,,,,,,,,,,ペイトク無制限,,,,,,,,,,,,,,有,,,加入,,無,,,,セキュリティ,スマートセキュリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USR009,2025/12/21 19:00:00,USR009,2025/12/21 19:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN202512210010,SM202512210010,100,有,無,P010,Sony,スマートフォン,Xperia 5 V,シルバー,100,,,,,,,,,130000,1000,,3500,,,,,,,,,,,,,,データ定額30GB,,,,,,,,,,,,,,有,,,未加入,,有,,,,セキュリティ,スマートセキュリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USR010,2025/12/21 20:00:00,USR010,2025/12/21 20:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN202512210011,SM202512210011,58,無,無,P011,Apple,スマートフォン,iPhone 14 Plus,ブルー,58,,,,,,,,,135000,1000,,3600,,,,,,,,,,,,,,メリハリ無制限,,,,,,,,,,,,,,有,,,加入,,無,,,,セキュリティ,スマートセキュリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USR011,2025/12/22 10:00:00,USR011,2025/12/22 10:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN202512210012,SM202512210012,72,有,有,P012,Google,スマートフォン,Pixel 8,ブラック,72,,,,,,,,,140000,1000,,3700,,,,,,,,,,,,,,ミニフィットプラン+,,,,,,,,,,,,,,有,,,未加入,,有,,,,セキュリティ,スマートセキュリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USR012,2025/12/22 11:00:00,USR012,2025/12/22 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
